Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4,Unnamed: 11,Unnamed: 12,y2,Predicted Category
23683,67433,,support.eu@aspiegel.com,re re  aspiegel support issue submit,hello  good morning so the campaign name was xmas download and win play pt as you will see in the screenshot i will send you and i won a voucher to use it in a online store called person but now person is a part of other companystore called person and whats my huawei id service country thanks in advance a ter 6 de set de phone 1216 escreveu dear customer thank you for contacting person we hope youre doing well this email is regarding your concern about person worry i will do my best to solve your problem as soon as possible in order to analyze your case in detail i will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  tuesday 06 september phone 1217 to  xxxxxxxxxcom subject  person support issue submit product appgallery  games requests using appgallery ie manage service country contact full name inês lavrador ramos phone number phone contact email address xxxxxxxxxcom summary of the issue good morning i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store and i still have the voucher to use thanks in advance home  news  events  products  partners  support copyright person se phone,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Problem/Fault
24075,67762,,support.pt@aspiegel.com,re re  appgalleryprobleme und vorschläge re re  appgalleryproblems and suggestions,danke nach neuinstallation der app funktioniert alles einwandfrei mfg per schrieb am do 8 sep phone 2042 sehr geehrter kunde vielen dank dass sie mit aspiegel kontakt aufgenommen haben wir hoffen dass es ihnen gut geht um ihnen die beste lösung anbieten zu können bitten wir sie ihre anfrage mit den folgenden informationen zu präzisieren 1 eine beschreibung des problems 2 ein screenshot oder eine videoaufnahme des fehlers 3 wann das problem aufgetreten ist 4 ihre huaweiid app galleryhms coreöffnen und dann einen screenshot machen 5 ihr handymodell 6 snnummer ihres geräts 7 version der appgalerie huawei appgaleriemich über 8 hms core version huawei appgaleriehmskernöffnen einstellungen über 9 verwandte app 10 version der verwandten app 11 das protokoll der appgalerie wenn sie weitere fragen haben antworten sie bitte auf diesen emailthread und wir werden ihnen gerne weiterhelfen mit freundlichen grüßen per customer support team a aspiegel se é uma empresa constituída segundo as leis da loc com sede em dublin loc aspiegel se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa canadá austrália nova zelândia e outros países from  xxxxxxxxxcom sent  thursday 08 september phone 2007 to  xxxxxxxxxcom subject  appgalleryprobleme und vorschläge beschreibung update lässt sich nicht installieren kontaktinformationen sxxxxxxxxxcom phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,Others
22994,64321,44805.53472,support.pt@aspiegel.com,re  appgalleryproblems and suggestions,dear customer thank you for contacting person we hope youre doing well in order to give you the best solution could you please clarify your request with following information a description of the issue a screenshot or record video of error when issue happened your huawei id app galleryhms coreopen then take a screenshot your phone model sn number of your device app gallery version huawei app galleryme about hms core version huawei app galleryhms coreopen settings about related app related app version the log of app gallery if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandra person customer support team a person se é uma empresa constituída segundo as leis da irlanda com sede em dublin irlanda person se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa canadá austrália nova zelândia e outros países from  xxxxxxxxxcom sent  thursday 01 september phone 1342 to  xxxxxxxxxcom subject  appgalleryproblems and suggestions description no instrol contact information phone sent from my huawei phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others,Others
22962,64200,44805.38125,support.eu@aspiegel.com,vip september special ch,how do i become a vip if i do saw if its right you have to spend phone chf every month and i spend over phone chf i wanted to ask i do i get the vip for the exclusive monthly offer,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Problem/Fault,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Problem/Fault,Problem/Fault
24310,68365,,support.eu@aspiegel.com,huawei music problems and suggestions,mxxxxxxxxxcom отправлено с моего телефона huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Problem/Fault
22948,64157,44805.33611,support.pt@aspiegel.com,re  appgalleryproblémák és javaslatok,dear customer thank you for contacting person we hope youre doing well in order to give you the best solution could you please clarify your request with following information a description of the issue a screenshot or record video of error when issue happened your huawei id app galleryhms coreopen then take a screenshot your phone model sn number of your device app gallery version huawei app galleryme about hms core version huawei app galleryhms coreopen settings about related app related app version the log of app gallery if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandra person customer support team a person se é uma empresa constituída segundo as leis da irlanda com sede em dublin irlanda person se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa canadá austrália nova zelândia e outros países from  xxxxxxxxxcom sent  thursday 01 september phone 0858 to  xxxxxxxxxcom subject  appgalleryproblémák és javaslatok leírás versionproblem névjegy információk xxxxxxxxxcom,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others
23119,64738,,support.pt@aspiegel.com,re aspiegel support issue submit,88phone xxxxxxxxxcom verão aventura no mar foi em 2 contas este é a segunda conta phone veja os horários enviado do meu telemóvel  mensagem original  de xxxxxxxxxcom data sextafeira 2 de setembro de phone 1218 para xxxxxxxxxcom assunto re  aspiegel support issue submit prezada micaela obrigada por entrar em contato com a aspiegel esperamos que você esteja indo bem este email diz respeito à sua preocupação com suas 2 bandas huawei 6 ganhas durante uma campanha a fim de melhor investigar este assunto gostaríamos de lhe pedir as seguintes informações 1 por favor envienos a data em que você foi contatado pela equipe de atendimento ao cliente a respeito do prêmio 2 envienos sua id huawei país de conta 3 esboce o prêmio que você ganhou 4 diga o nome da campanha da qual você participou 5 forneça uma captura de tela da notificação do vencedor depois que você ganhou o prêmio se possível 6 uma captura de tela da campanha que você participou para mais perguntas sintase à vontade para responder a este tópico de email e teremos o maior prazer em esclarecêlo sobre suas dúvidas atenciosamente madalin aspiegel customer support team a aspiegel se é uma empresa constituída segundo as leis da irlanda com sede em dublin irlanda aspiegel se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa canadá austrália nova zelândia e outros países from  xxxxxxxxxcom sent  friday 02 september phone 1303 to  xxxxxxxxxcom subject  aspiegel support issue submit product appgallery  games requests using appgallery ie manage service country contact full name micaela phone number phone contact email address xxxxxxxxxcom huawei id account xxxxxxxxxcom summary of the issue ganhei 2 huawei bands 6 no jogo de verão descarrega e ganha como as vou receber home  news  events  products  partners  support copyright aspiegel se phone,Campaign_Outbound_Request,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Cooperated campaign issue,,,Problem/Fault,Suggestion
22956,64195,44805.37083,support.eu@aspiegel.com,re  problème cashback,cher matteo merci davoir contacté aspiegel nous espérons que vous allez bien loc email est à propos de votre demande concernant le cashback pour les achats dans le jeu pour améliorer lexpérience de jeu nous avons créé un canal discord pour vous tenir au courant des dernières campagnes de jeu des activités de réduction et pour vous fournir des services directs nous vous recommandons de nous contacter via le canal discord  httpsdiscordgg3btjjqhcpe depuis votre ordinateur directement nos collègues sont les plus qualifiés et vous aideront volontiers si vous avez dautres questions nhésitez pas à répondre à cet email et nous serons heureux de vous aider à résoudre vos doutes sincèrement stela léquipe de support client daspiegel aspiegel se is a company incorporated under the laws of loc with its headquarters in dublin loc aspiegel se is the provider of huawei mobile services to huawei and honor device owners in europe loc loc new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 0935 to  xxxxxxxxxcom subject  problème cashback bonjour je vous envoie ce message car je nai pas reçu de cashback sur une offre disponible photo a lappui le bot na pas su maider et me renvoie vers vous l problème nest pas récurent il est arrivé le 28 aout huawei id  phone merci matteo convert,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault
23017,64443,44805.67847,support.eu@aspiegel.com,re  refund request,dear customer we apologize for the inconvenience we advise you to contact the developers for your refund request thank you for your understanding sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 1612 to  xxxxxxxxxcom subject  re re  refund request that is very unfortunate because ive been contacting paypal and huawei for the past few months and never gotten and reply until i found out this email i did report it to the game developer but they decided to only soft ban those people for 3 days and let them keep whatever they gotten for illegal third party recharge which makes the game environment unfair for us paying the full price using legit recharge platform sent from my huawei phone  original message  from xxxxxxxxxcom date thu 1 sep phone 321 pm to xxxxxxxxxcom subject re  refund request dear customer thank you for your reply we have checked with our internal team the huawei id and all the transactions took place more than 14 days ago and according to our internal policy we are unable to assist you with the refund we advise you to report it to the developers and get a feedback from their side also because we understand precisely what you mean with illegal payment thank you for your understanding if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 1352 to  xxxxxxxxxcom subject  re re  refund request huawei id phone video of charge httpsyoutubecomshortsnppd0mzfgpgfeatureshare on thu 1 sept phone at 1315  xxxxxxxxxcom wrote dear customer thank you for your reply unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id thank you for your understanding and cooperation sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 0837 to  xxxxxxxxxcom subject  re re  refund request screenshot_phone_phone_comhuaweihwidjpg svid_phone_phone_1mp4 on wed 31 aug phone at 2039  xxxxxxxxxcom wrote dear customer thank you for contacting person we hope youre doing well i will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information  a screenshot or record video of the charge  your huawei id app galleryhms coreopen then take a screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  wednesday 31 august phone 2026 to  xxxxxxxxxcom subject  refund request the game is allowing illegal third party transactions and its not fair for players purchasing through legal and legit platforms to recharge so i demand at least a partial refund from the app kingdom guard phone phone phone,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault
23055,64549,44805.91319,support.pt@aspiegel.com,appgalleryproblemy i sugestie,opis brak możliwości instalacji informacje kontaktowe xxxxxxxxxcom,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault
